date,open,high,low,close,volume
2026-06-08 09:30:00,414.16,417.16,411.3,411.58,2107333
2026-06-08 09:35:00,411.65,413.72,411.29,412.38,574661
2026-06-08 09:40:00,412.4,413.36,412.05,413.0,465740
2026-06-08 09:45:00,413.01,413.94,412.09,412.25,588157
2026-06-08 09:50:00,412.26,413.47,412.2,413.2,319344
2026-06-08 09:55:00,413.2,413.3,411.73,412.4,413439
2026-06-08 10:00:00,412.4,412.61,411.73,412.39,436513
2026-06-08 10:05:00,412.39,412.74,411.32,412.3,521580
2026-06-08 10:10:00,412.3,412.55,411.56,412.25,463151
2026-06-08 10:15:00,412.26,412.95,412.1,412.17,393049
2026-06-08 10:20:00,412.19,413.18,412.06,412.72,318728
2026-06-08 10:25:00,412.72,413.33,411.99,412.73,337547
2026-06-08 10:30:00,412.73,413.48,412.6,412.77,277662
2026-06-08 10:35:00,412.77,413.6,412.58,412.84,263838
2026-06-08 10:40:00,412.85,413.09,411.88,412.29,284977
2026-06-08 10:45:00,412.31,413.47,412.29,412.44,287232
2026-06-08 10:50:00,412.42,412.92,411.81,412.25,308618
2026-06-08 10:55:00,412.32,412.97,412.21,412.56,247539
2026-06-08 11:00:00,412.59,413.54,412.4,412.9,261666
2026-06-08 11:05:00,412.95,413.25,412.53,412.91,299285
2026-06-08 11:10:00,412.83,412.97,412.51,412.86,210593
2026-06-08 11:15:00,412.92,413.03,412.11,412.35,287746
2026-06-08 11:20:00,412.34,412.64,412.15,412.46,211434
2026-06-08 11:25:00,412.45,412.49,411.35,411.42,265827
2026-06-08 11:30:00,411.4,411.44,410.24,410.45,398835
2026-06-08 11:35:00,410.43,411.43,410.35,411.42,302702
2026-06-08 11:40:00,411.4,411.59,411.0,411.34,191876
2026-06-08 11:45:00,411.32,411.4,410.79,410.93,207150
2026-06-08 11:50:00,410.9,411.35,410.9,411.05,199259
2026-06-08 11:55:00,411.05,411.05,410.31,410.39,223950
2026-06-08 12:00:00,410.37,410.5,409.92,410.08,346230
2026-06-08 12:05:00,410.09,410.47,409.82,410.16,230427
2026-06-08 12:10:00,410.13,410.48,410.01,410.28,183371
2026-06-08 12:15:00,410.28,411.0,410.22,410.88,175003
2026-06-08 12:20:00,410.88,410.98,410.25,410.47,187571
2026-06-08 12:25:00,410.5,411.14,410.43,410.49,155406
2026-06-08 12:30:00,410.48,410.78,409.8,409.9,196522
2026-06-08 12:35:00,409.86,410.34,409.75,409.92,237440
2026-06-08 12:40:00,409.92,410.19,409.64,409.94,170318
2026-06-08 12:45:00,409.91,410.38,409.88,410.09,218443
2026-06-08 12:50:00,410.08,410.15,409.7,409.95,154339
2026-06-08 12:55:00,409.95,410.01,409.46,409.52,183301
2026-06-08 13:00:00,409.47,409.51,408.67,408.92,372346
2026-06-08 13:05:00,408.92,409.4,408.83,408.94,152442
2026-06-08 13:10:00,408.94,409.25,408.56,409.2,205470
2026-06-08 13:15:00,409.28,409.33,408.83,409.17,161640
2026-06-08 13:20:00,409.17,409.2,408.69,408.9,146370
2026-06-08 13:25:00,408.92,410.04,408.79,410.01,320603
2026-06-08 13:30:00,409.99,410.3,409.63,410.14,275645
